Num_match;Competition;dom_ext;Gagne_perdu;Adveresaire;Capitaine;Starter/bench;Joueur;Minutes;Secondes;Secondes(minutes);Tps_jeu_decimal;Tirs_marques;Tirs_tentes;%Tirs;2pts_marques;2pts_tentes;%2pts;3pts_marques;3pts_tentes;%3pts;LF_marques;LF_tentes;%LF;Pts_apres_balles_perdues;Points_int;Point_2eme_chance;Points_CA;Points_banc;Ecart_max;Serie_max;Pts;RO;RD;RT;PD;BP;INT;CT;CTS;F;FPR;+/-;EVAL;N°;JOUEUR
1/4 de finale;Coupe de France;Exterieur;Defaite;Bourges;;Starter;S. Zellous;28;14;0,23;28,23;2;8;0,25;2;2;1;0;6;0;1;2;0,5;;;;;;;;5;0;2;2;3;1;0;0;0;5;1;-4;2;1;S. Zellous
1/4 de finale;Coupe de France;Exterieur;Defaite;Bourges;;Starter;K. Smalls;23;25;0,42;23,42;2;6;0,333333333;1;2;0,5;1;4;0,25;1;3;0,333333333;;;;;;;;6;1;1;2;1;3;4;0;0;3;3;-4;4;3;K. Smalls
1/4 de finale;Coupe de France;Exterieur;Defaite;Bourges;;Starter;K. Diaby;30;49;0,82;30,82;6;9;0,666666667;6;9;0,666666667;0;0;;5;8;0,625;;;;;;;;17;6;5;11;0;2;0;0;0;2;10;-2;20;22;K. Diaby
1/4 de finale;Coupe de France;Exterieur;Defaite;Bourges;;Starter;K. Burke;32;8;0,13;32,13;4;11;0,363636364;3;6;0,5;1;5;0,2;3;4;0,75;;;;;;;;12;0;5;5;3;5;2;3;0;3;2;-12;12;25;K. Burke
1/4 de finale;Coupe de France;Exterieur;Defaite;Bourges;;Starter;J. Salaun;31;20;0,33;31,33;3;8;0,375;1;1;1;2;7;0,285714286;1;2;0,5;;;;;;;;9;2;3;5;1;0;0;0;0;5;3;-9;9;31;J. Salaun
1/4 de finale;Coupe de France;Exterieur;Defaite;Bourges;;Banc;A. Gueye;7;13;0,22;7,22;0;2;0;0;1;0;0;1;0;0;0;;;;;;;;;0;0;3;3;0;2;0;0;0;1;0;-12;-1;5;A. Gueye
1/4 de finale;Coupe de France;Exterieur;Defaite;Bourges;Capitaine;Banc;C. Heriaud;21;55;0,92;21,92;1;5;0,2;1;2;0,5;0;3;0;0;0;;;;;;;;;2;1;0;1;0;2;2;0;0;1;1;-17;-1;6;C. Heriaud(C)
1/4 de finale;Coupe de France;Exterieur;Defaite;Bourges;;Banc;B. Mununga;10;24;0,4;10,4;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;2;0;-9;0;20;B. Mununga
1/4 de finale;Coupe de France;Exterieur;Defaite;Bourges;;Banc;M. Lisowa Mbaka;14;32;0,53;14,53;2;8;0,25;2;5;0,4;0;3;0;2;2;1;;;;;;;;6;2;2;4;1;3;1;0;0;1;2;-16;3;33;M. Lisowa Mbaka
1/4 de finale;Coupe de France;Exterieur;Defaite;Bourges;;Banc;TOTAUX EQUIPE;;;;;20;57;0,350877193;16;28;0,571428571;4;29;0,137931034;13;21;0,619047619;22;22;8;10;8;4;7;57;12;23;35;9;22;9;3;0;23;22;0;46;;TOTAUX EQUIPE
1;Championat de France;Exterieur;Victoire;Tarbes;;Starter;K. Smalls;24;15;0,25;24,25;4;6;0,666666667;2;3;0,666666667;2;3;0,666666667;0;0;;;;;;;;;10;0;3;3;3;1;1;0;0;0;1;25;14;3;K. Smalls
1;Championat de France;Exterieur;Victoire;Tarbes;Capitaine;Starter;C. Heriaud;24;4;0,07;24,07;1;3;0,333333333;0;0;;1;3;0,333333333;2;2;1;;;;;;;;5;1;3;4;3;3;3;0;0;3;4;21;10;6;C. Heriaud(C)
1;Championat de France;Exterieur;Victoire;Tarbes;;Starter;K. Diaby;18;24;0,4;18,4;4;6;0,666666667;4;6;0,666666667;0;0;;6;6;1;;;;;;;;14;1;3;4;1;2;1;0;0;0;4;21;16;22;K. Diaby
1;Championat de France;Exterieur;Victoire;Tarbes;;Starter;K. Burke;28;40;0,67;28,67;5;13;0,384615385;4;9;0,444444444;1;4;0,25;1;1;1;;;;;;;;12;0;2;2;6;0;3;1;1;1;2;23;16;25;K. Burke
1;Championat de France;Exterieur;Victoire;Tarbes;;Starter;J. Salaun;23;24;0,4;23,4;2;9;0,222222222;2;7;0,285714286;0;2;0;2;2;1;;;;;;;;6;1;1;2;0;3;5;0;0;1;3;13;3;31;J. Salaun
1;Championat de France;Exterieur;Victoire;Tarbes;;Banc;S. Zellous;20;4;0,07;20,07;2;7;0,285714286;2;4;0,5;0;3;0;2;2;1;;;;;;;;6;0;5;5;1;2;1;0;1;2;1;4;6;1;S. Zellous
1;Championat de France;Exterieur;Victoire;Tarbes;;Banc;A. Gueye;18;36;0,6;18,6;4;7;0,571428571;3;4;0,75;1;3;0,333333333;0;1;0;;;;;;;;9;4;3;7;0;1;1;0;0;4;2;1;12;5;A. Gueye
1;Championat de France;Exterieur;Victoire;Tarbes;;Banc;M. Hirsch;20;36;0,6;20,6;3;7;0,428571429;2;5;0,4;1;2;0,5;0;0;;;;;;;;;7;0;2;2;0;3;2;0;0;2;1;5;4;13;M. Hirsch
1;Championat de France;Exterieur;Victoire;Tarbes;;Banc;M. Lisowa Mbaka;21;57;0,95;21,95;2;4;0,5;1;3;0,333333333;1;1;1;0;2;0;;;;;;;;5;3;1;4;0;3;0;0;1;4;1;7;2;33;M. Lisowa Mbaka
1;Championat de France;Exterieur;Victoire;Tarbes;;Banc;TOTAUX EQUIPE;;;;;27;62;0,435483871;20;41;0,487804878;7;21;0,333333333;13;16;0,8125;20;24;9;6;27;27;17;74;11;26;37;14;18;17;1;3;17;19;0;87;;TOTAUX EQUIPE
2;Championat de France;Domicile;Victoire;Lattes Montpellier;;Starter;K. Smalls;29;28;0,47;29,47;5;10;0,5;4;6;0,666666667;1;4;0,25;2;2;1;;;;;;;;13;0;4;4;0;2;1;0;0;1;1;26;11;3;K. Smalls
2;Championat de France;Domicile;Victoire;Lattes Montpellier;Capitaine;Starter;C. Heriaud;21;16;0,27;21,27;2;6;0,333333333;0;1;0;2;5;0,4;0;0;;;;;;;;;6;0;0;0;5;1;1;0;1;1;0;18;7;6;C. Heriaud(C)
2;Championat de France;Domicile;Victoire;Lattes Montpellier;;Starter;K. Diaby;24;23;0,38;24,38;3;4;0,75;3;4;0,75;0;0;;4;4;1;;;;;;;;10;2;2;4;1;2;3;0;0;1;5;19;15;22;K. Diaby
2;Championat de France;Domicile;Victoire;Lattes Montpellier;;Starter;K. Burke;28;38;0,63;28,63;5;11;0,454545455;3;5;0,6;2;6;0,333333333;5;6;0,833333333;;;;;;;;17;2;4;6;5;1;7;0;0;1;3;13;27;25;K. Burke
2;Championat de France;Domicile;Victoire;Lattes Montpellier;;Starter;J. Salaun;25;40;0,67;25,67;5;8;0,625;5;5;1;0;3;0;0;2;0;;;;;;;;10;1;2;3;4;1;2;1;0;1;3;20;14;31;J. Salaun
2;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;S. Zellous;23;55;0,92;23,92;4;9;0,444444444;0;2;0;4;7;0,571428571;2;2;1;;;;;;;;14;1;5;6;1;2;0;0;0;2;1;7;14;1;S. Zellous
2;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;A. Gueye;15;37;0,62;15,62;0;0;;0;0;;0;0;;4;4;1;;;;;;;;4;2;4;6;0;4;1;0;0;1;2;6;7;5;A. Gueye
2;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;C. Abraham;1;25;0,42;1,42;0;0;;0;0;;0;0;;0;0;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;-1;0;10;C. Abraham
2;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;M. Hirsch;13;45;0,75;13,75;1;3;0,333333333;1;1;1;0;2;0;0;0;;;;;;;;;2;0;0;0;1;1;0;0;0;3;0;11;0;13;M. Hirsch
2;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;M. Lisowa Mbaka;15;52;0,87;15,87;3;7;0,428571429;3;3;1;0;4;0;0;1;0;;;;;;;;6;0;0;0;0;2;1;0;0;3;2;6;0;33;M. Lisowa Mbaka
2;Championat de France;Domicile;Victoire;Lattes Montpellier;;Banc;TOTAUX EQUIPE;;;;;28;58;0,482758621;19;27;0,703703704;9;31;0,290322581;17;21;0,80952381;35;30;12;12;26;26;15;82;9;23;32;17;17;16;1;1;14;17;0;97;;TOTAUX EQUIPE
3;Championat de France;Domicile;Victoire;Bourges;;Starter;S. Zellous;20;56;0,93;20,93;3;8;0,375;0;2;0;3;6;0,5;4;4;1;;;;;;;;13;0;1;1;0;1;2;0;0;1;4;10;10;1;S. Zellous
3;Championat de France;Domicile;Victoire;Bourges;;Starter;K. Smalls;26;26;0,43;26,43;5;8;0,625;2;3;0,666666667;3;5;0,6;0;0;;;;;;;;;13;0;2;2;3;2;1;1;0;3;0;6;15;3;K. Smalls
